anio,codigo_depto,codigo_muni,codigo_evento,num_casos,porcentaje_mun
535607,4788,4950260,108085,381.0,0.0239936520731523
1699381,80180,80180844,327174,1434.0,0.09030681646430551
209386,2808,2876640,45396,153.0,0.009635246108116278
1000714,6461,6787529,184521,933.0,0.05875610862008161
416826,10350,10491381,78468,273.0,0.01719230187918787
485261,16870,17039182,89717,351.0,0.022104388130384404
694665,8625,8853390,142907,554.0,0.03488840747644718
769189,1910,2161738,158342,504.0,0.03173963423850068
1455863,31812,32281950,281824,1232.0,0.07758577258300167
94624,2350,2382242,19580,54.0,0.0034006750969822154
2015,1001,75659,206,1.0,6.297546475892992e-05
730920,18876,19125381,143152,573.0,0.03608494130686685
1435697,30765,31242780,279646,1172.0,0.07380724469746587
368459,2745,2867061,73903,231.0,0.014547332359312812
281891,11900,11945500,57717,151.0,0.009509295178598418
1065230,37030,37422518,201629,1003.0,0.06316439115320671
1498097,52080,52606752,288255,1268.0,0.07985288931432315
2013,1001,75674,214,1.0,6.297546475892992e-05
1771784,33410,34044913,338487,1392.0,0.08766184694443045
493280,3185,3348415,96802,312.0,0.019648345004786134
346304,2580,2695756,66042,263.0,0.01656254723159857
596069,24232,24451244,119255,417.0,0.026260768804473776
330212,2460,2570864,63739,215.0,0.013539724923169934
1252440,43540,43983486,243241,1220.0,0.07683006700589451
1812224,27417,28029269,364085,1345.0,0.08470200010076073
384538,2865,2995071,78084,240.0,0.01511411154214318
1490094,54200,54711780,292886,1103.0,0.0694619376290997
396663,10244,10380718,78905,233.0,0.014673283288830672
966516,2400,2718720,189574,804.0,0.05063227366617966
1014843,2520,2855160,203012,799.0,0.050317396342385
1143757,13064,13453648,227750,937.0,0.059008010479117336
682569,1695,1921113,127777,529.0,0.03331402085747393
869801,2160,2449440,170684,762.0,0.0479873041463046
569884,5377,5573119,116359,415.0,0.026134817874955914
549714,12831,13019916,111713,379.0,0.02386770114363444
1435643,52049,52364859,270303,1685.0,0.10611365811879692
839686,2085,2366058,164288,652.0,0.04106000302282231
1248323,42160,42587180,243957,1102.0,0.06939896216434077
1552394,13878,14458563,319421,1465.0,0.09225905587183234
338261,7896,8014104,66393,203.0,0.012784019346062775
1022843,26416,26762964,199653,885.0,0.055733286311652974
684645,15980,16220380,134199,524.0,0.032999143533679276
1447730,9877,10367621,281161,1209.0,0.07613733689354628
263774,6157,6251320,49458,174.0,0.010957730868053807
390663,2522,2652562,75132,236.0,0.014862209683107462
130884,4420,4466800,26284,73.0,0.004597208927401884
324157,11753,11863446,65025,201.0,0.012658068416544915
366501,4435,1779811,69415,217.0,0.013665675852687792
4981720,116278,116280474,937257,16689.0,1.0509975313617814
736975,11730,11979180,139784,451.0,0.028401934606277397
1004752,6985,7327311,192667,651.0,0.04099702755806338
2239163,73392,74150384,416417,3241.0,0.20410348128369185
1304704,3240,3684528,261337,1156.0,0.07279963726132298
694665,5175,5414085,136569,480.0,0.03022822308428636
936283,6045,6364920,188949,719.0,0.04527935916167061
120810,5940,5977440,24906,64.0,0.004030429744571515
273872,2040,2134656,53711,160.0,0.010076074361428789
477273,12324,12489663,97873,304.0,0.019144541286714695
1145763,2845,2868898,233508,1008.0,0.06347926847700136
493268,3675,3843070,98882,308.0,0.019396443145750418
2504951,23636,24504312,478885,3305.0,0.2081339110282634
565840,21830,22037720,115598,337.0,0.021222731623759383
954445,33180,33568680,192926,865.0,0.054473777016474385
555657,1380,1570440,108158,391.0,0.0246234067207416
990730,3936,4273020,187829,847.0,0.05334021865081364
742949,24354,24607503,139185,593.0,0.03734445060204544
416793,10764,10913040,84046,274.0,0.017255277343946798
1689385,67959,68576504,314549,1807.0,0.11379666481938636
791299,21222,21504960,160968,611.0,0.03847800896770618
797415,9900,10184328,161078,640.0,0.040304297445715155
253683,1890,1980720,51476,166.0,0.010453927149982367
106690,795,833319,19989,56.0,0.0035266260265000757
1344977,3340,3831648,268414,1548.0,0.09748601944682352
457112,5675,5842072,87955,285.0,0.017948007456295028
1793953,67716,68371776,336514,2181.0,0.13734948863922616
408727,3045,3195220,84528,256.0,0.01612171897828606
1353044,16800,17297280,261508,1121.0,0.07059549599476045
724833,30960,31229640,138387,477.0,0.03003929669000957
267760,7182,7280819,50690,164.0,0.010327976220464507
952370,11825,12176439,179678,761.0,0.04792432868154567
1081321,10203,10601991,218890,755.0,0.04754647589299209
408699,13804,13955235,83692,257.0,0.016184694443044993
600037,7450,7672010,121570,439.0,0.027646229029170234
620065,4004,4233152,119600,383.0,0.024119603002670163
2497182,210904,59353759,569415,2504.0,0.1576905637563605
3892390,135310,135311933,733929,9510.0,0.5988966698574236
84528,1134,1165290,16096,44.0,0.002770920449392916
747060,17437,17713395,142559,536.0,0.03375484911078643
4415845,54825,56478522,859682,12741.0,0.8023703964935262
724891,5400,5671080,139222,556.0,0.03501435840596504
483244,3600,3781680,98071,376.0,0.02367877474935765
1329031,44880,45378300,260425,1261.0,0.07941206106101062
569765,4245,4458665,118488,400.0,0.025190185903571968
2899573,21600,22692960,566027,4762.0,0.2998891631820243
322138,2880,3000960,64215,175.0,0.011020706332812737
4412033,17528,19188778,821369,11574.0,0.7288780291198549
328146,2934,3061955,68850,192.0,0.012091289233714544
348307,2595,2726653,66875,227.0,0.014295430500277092
1393325,3460,3983152,263928,1455.0,0.09162930122424304
777243,1930,2223746,151390,609.0,0.03835205803818832
384632,2483,2628160,76257,241.0,0.015177087006902111
763183,9475,9762282,145769,538.0,0.0338808000403043
195319,1455,1528914,40939,108.0,0.006801350193964431
354392,2640,2774464,70222,210.0,0.013224847599375283
579858,4320,4539744,121767,382.0,0.02405662753791123
535629,5054,5256160,103135,356.0,0.022419265454179053
515556,17408,17605120,98808,382.0,0.02405662753791123
406792,1616,1771540,76158,272.0,0.01712932641442894
718822,14637,14911890,143513,540.0,0.034006750969822155
601948,7475,7704931,110903,402.0,0.02531613683308983
1393512,39326,39862282,265743,936.0,0.05894503501435841
2015,1001,75752,307,1.0,6.297546475892992e-05
628234,7800,8040864,124300,434.0,0.027331351705375585
22142,11011,833316,4693,11.0,0.000692730112348229
296003,3675,3789219,61341,203.0,0.012784019346062775
1316871,11118,11626158,252054,1206.0,0.07594841049926948
195242,6596,6671660,38184,110.0,0.0069273011234822915
42277,21021,1590540,6729,21.0,0.0013224847599375283
440911,5475,5645601,89147,291.0,0.018325860244848606
273827,2040,2145264,55148,159.0,0.010013098896669858
360400,2685,2823904,71225,226.0,0.014232455035518161
289952,3600,3712464,61648,170.0,0.010705829009018087
402702,3000,3155600,77845,262.0,0.016499571766839638
1071213,19072,19485300,214440,756.0,0.04760945135775102
80522,3400,3412600,15778,40.0,0.002519018590357197
245630,1830,1907836,50319,140.0,0.008816565066250188
763087,9475,9772515,148177,529.0,0.03331402085747393
847696,11367,11698327,164546,559.0,0.035203284800241826
445026,2873,3045380,87341,297.0,0.018703713033402188
614182,6100,6340035,116205,414.0,0.026071842410196985
1659097,66744,67398256,320562,1646.0,0.10365761499319866
857678,22152,22486836,183478,728.0,0.04584613834450098
618099,15964,16205916,122996,473.0,0.02978739483097385
86565,4171,4199638,18576,43.0,0.0027079449846339866
138924,6279,6334062,29831,69.0,0.004345307068366165
